Algorithm,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
MCTS,0,50,0.92,0.0,0.7372,15.28,5.260869565217392,0.0,0.0014820084213055635
MCTS,1,50,0.92,0.0,0.7519999999999998,13.8,3.652173913043478,0.0,0.001408283960126212
MCTS,2,50,0.9,0.0,0.7073999999999998,15.26,4.4,0.0,0.0014178342509500704
Map-Conditioned Failure-Memory Diffusion,0,50,0.3,0.7,-0.4456000000000001,5.56,1.4666666666666666,0.3426774891774891,0.0014260167175679766
Map-Conditioned Failure-Memory Diffusion,1,50,0.26,0.74,-0.5192000000000001,4.92,1.5384615384615385,0.35027117327117324,0.0014101486866325188
Map-Conditioned Failure-Memory Diffusion,2,50,0.28,0.72,-0.48800000000000004,5.8,1.5714285714285714,0.34372423818012054,0.001415321472033325
Map-Conditioned Improved Failure-Memory Diffusion,0,50,1.0,0.0,0.8959999999999999,11.4,4.4,0.0,0.002055876743607326
Map-Conditioned Improved Failure-Memory Diffusion,1,50,1.0,0.0,0.9079999999999999,10.2,3.2,0.0,0.0019632447490997964
Map-Conditioned Improved Failure-Memory Diffusion,2,50,1.0,0.0,0.8916000000000001,11.84,4.84,0.0,0.0019646505518288422
Map-Conditioned Standard Diffusion,0,50,0.14,0.86,-0.7555999999999998,4.56,2.0,0.0,0.0013562154813628396
Map-Conditioned Standard Diffusion,1,50,0.1,0.9,-0.8247999999999999,3.48,2.0,0.0,0.0013632837363383216
Map-Conditioned Standard Diffusion,2,50,0.16,0.84,-0.7071999999999998,3.72,0.5,0.0,0.0013559997242697942
Policy Iteration,0,50,1.0,0.0,0.94,7.0,0.0,0.0,1.3289871241708862e-07
Policy Iteration,1,50,1.0,0.0,0.94,7.0,0.0,0.0,1.3663562057199815e-07
Policy Iteration,2,50,1.0,0.0,0.94,7.0,0.0,0.0,2.3391852924500457e-07
Q-learning,0,50,1.0,0.0,0.94,7.0,0.0,0.0,8.646297608807106e-07
Q-learning,1,50,1.0,0.0,0.94,7.0,0.0,0.0,8.456703083264451e-07
Q-learning,2,50,1.0,0.0,0.94,7.0,0.0,0.0,8.334235211054514e-07
Random Policy,0,50,0.0,1.0,-1.0122,2.22,,0.0,1.3362858222708816e-06
Random Policy,1,50,0.0,1.0,-1.0168,2.68,,0.0,1.182107093232584e-06
Random Policy,2,50,0.0,1.0,-1.0170000000000001,2.7,,0.0,1.067467785712021e-06
Value Iteration,0,50,1.0,0.0,0.94,7.0,0.0,0.0,1.415617013071102e-07
Value Iteration,1,50,1.0,0.0,0.94,7.0,0.0,0.0,1.3299577704091216e-07
Value Iteration,2,50,1.0,0.0,0.94,7.0,0.0,0.0,1.3372518659462147e-07
