Algorithm,Map,Success Rate Mean,Success Rate Std,Average Return Mean,Average Return Std,Path Length Mean,Path Length Std,Collision Rate Mean,Optimality Gap Mean,Repeated Failure Rate Mean,Inference Time Mean
Failure-Memory Diffusion,deceptive,0.0,0.0,-1.0276666666666667,0.01584999123729167,3.7666666666666666,1.5849991237291654,1.0,,0.7223015873015872,0.0012591439616748148
MCTS,deceptive,0.9,0.30000000000000004,0.5763333333333335,0.527000843347417,28.366666666666667,10.163606096700565,0.0,12.962962962962964,0.0,0.000753688759444229
Policy Iteration,deceptive,1.0,0.0,0.8799999999999998,2.220446049250313e-16,13.0,0.0,0.0,0.0,0.0,1.1706366561926328e-07
Q-learning,deceptive,0.0,0.0,-0.9900000000000005,3.3306690738754696e-16,50.0,0.0,0.0,,0.0,6.556510925292968e-07
Random Policy,deceptive,0.0,0.0,-1.0093333333333334,0.011813363431112911,1.9333333333333333,1.18133634311129,1.0,,0.0,1.2037732327977817e-06
Standard Diffusion,deceptive,0.0,0.0,-1.0216666666666667,0.014851112939963657,3.1666666666666665,1.4851112939963642,1.0,,0.0,0.00122840858465578
Value Iteration,deceptive,1.0,0.0,0.8799999999999998,2.220446049250313e-16,13.0,0.0,0.0,0.0,0.0,1.1739738954183386e-07
Failure-Memory Diffusion,easy,0.6,0.48989794855663565,0.12866666666666665,0.9498271187724404,8.133333333333333,5.451197625802568,0.4,5.666666666666667,0.39283910533910543,0.0012564702517856496
MCTS,easy,0.7,0.45825756949558394,0.2503333333333332,0.8198962671514545,30.966666666666665,16.861165110658543,0.0,17.80952380952381,0.0,0.0005116864316626521
Policy Iteration,easy,1.0,0.0,0.9600000000000002,2.220446049250313e-16,5.0,0.0,0.0,0.0,0.0,1.2695789337158202e-07
Q-learning,easy,1.0,0.0,0.9533333333333334,0.009428090415820644,5.666666666666667,0.9428090415820636,0.0,0.6666666666666666,0.0,8.870785435040792e-07
Random Policy,easy,0.0,0.0,-1.034,0.0740990328321947,4.4,7.409903283219468,1.0,,0.0,1.1944043173461701e-06
Standard Diffusion,easy,0.4,0.48989794855663565,-0.23999999999999996,0.9461219089877724,5.0,4.258325179379017,0.6,4.166666666666667,0.0,0.0012249742724380831
Value Iteration,easy,1.0,0.0,0.9600000000000002,2.220446049250313e-16,5.0,0.0,0.0,0.0,0.0,1.3110383103291192e-07
Failure-Memory Diffusion,obstacle,0.03333333333333333,0.17950549357115014,-0.9583333333333335,0.3491426006026127,3.5,1.857417562100671,0.9666666666666667,0.0,0.7221693121693122,0.0012603291242029864
MCTS,obstacle,1.0,0.0,0.8119999999999998,0.08968091584426797,19.8,8.968091584426794,0.0,10.8,0.0,0.0009139551624901491
Policy Iteration,obstacle,1.0,0.0,0.9200000000000004,3.3306690738754696e-16,9.0,0.0,0.0,0.0,0.0,1.117043818036715e-07
Q-learning,obstacle,1.0,0.0,0.9200000000000004,3.3306690738754696e-16,9.0,0.0,0.0,0.0,0.0,8.004769268963071e-07
Random Policy,obstacle,0.0,0.0,-1.0093333333333334,0.011813363431112911,1.9333333333333333,1.18133634311129,1.0,,0.0,1.1984032527026202e-06
Standard Diffusion,obstacle,0.0,0.0,-1.0153333333333334,0.010561986345169916,2.533333333333333,1.0561986345169905,1.0,,0.0,0.0012280573514807556
Value Iteration,obstacle,1.0,0.0,0.9200000000000004,3.3306690738754696e-16,9.0,0.0,0.0,0.0,0.0,1.1357047629577143e-07
Failure-Memory Diffusion,random_small,0.4,0.4898979485566357,-0.2633333333333333,0.95214611390386,7.333333333333333,5.081557066709202,0.6,2.8333333333333335,0.5259715666780884,0.0012729652409724326
MCTS,random_small,0.23333333333333334,0.4229525846816506,-0.5846666666666669,0.7359154540812115,44.46666666666667,10.865030551677659,0.0,18.285714285714285,0.0,0.0005794768075858969
Policy Iteration,random_small,1.0,0.0,0.9299999999999999,0.0,8.0,0.0,0.0,0.0,0.0,1.2480498601992924e-07
Q-learning,random_small,1.0,0.0,0.9299999999999999,0.0,8.0,0.0,0.0,0.0,0.0,7.994841629018386e-07
Random Policy,random_small,0.0,0.0,-1.008,0.019390719429665332,1.8,1.9390719429665317,1.0,,0.0,1.3237531178645672e-06
Standard Diffusion,random_small,0.3,0.45825756949558394,-0.4523333333333334,0.8880979050132305,6.233333333333333,4.379370832538493,0.7,2.6666666666666665,0.0,0.0012399773107717755
Value Iteration,random_small,1.0,0.0,0.9299999999999999,0.0,8.0,0.0,0.0,0.0,0.0,1.251590826238195e-07
